YEAR,STATE,COUNTY_NAME,RATE_PER_100,,,,,
2023,GA,Laurens County,75.6,,,,,
2023,GA,Brooks County,72.4,,,,,
2023,GA,Miller County,71.7,,,,,
2023,GA,Chatham County,69.9,,,,,
2023,GA,Crisp County,69.4,,,,,
2023,GA,Rabun County,68.9,,,,,
2023,GA,Bulloch County,68.5,,,,,
2023,GA,Lowndes County,67.9,,,,,
2023,GA,Jenkins County,66.1,,,,,
2023,GA,Upson County,65.8,,,,,
2023,GA,Fayette County,63.9,,,,,
2023,GA,Glynn County,63.6,,,,,
2023,GA,Ben Hill County,62,,,,,
2023,GA,Troup County,61.8,,,,,
2023,GA,Elbert County,61.6,,,,,
2023,GA,Fannin County,61.4,,,,,
2023,GA,Bartow County,61,,,,,
2023,GA,Carroll County,59.7,,,,,
2023,GA,Clinch County,58.3,,,,,
2023,GA,Fulton County,58.3,,,,,
2023,GA,Decatur County,55.5,,,,,
2023,GA,Emanuel County,54.5,,,,,
2023,GA,Wayne County,52.9,,,,,
2023,GA,Rockdale County,52.6,,,,,
2023,GA,Lincoln County,52.4,,,,,
2023,GA,Houston County,52.1,,,,,
2023,GA,Candler County,52,,,,,
2023,GA,Toombs County,52,,,,,
2023,GA,Haralson County,51.1,,,,,
2023,GA,Pickens County,49.7,,,,,
2023,GA,Charlton County,49.2,,,,,
2023,GA,Stephens County,48.8,,,,,
2023,GA,Jeff Davis County,48.6,,,,,
2023,GA,McDuffie County,48.3,,,,,
2023,GA,Union County,48.2,,,,,
2023,GA,Barrow County,48,,,,,
2023,GA,Oconee County,47.5,,,,,
2023,GA,Whitfield County,47.3,,,,,
2023,GA,Wilkes County,46.6,,,,,
2023,GA,Crawford County,44.5,,,,,
2023,GA,Cherokee County,44.3,,,,,
2023,GA,Atkinson County,44.1,,,,,
2023,GA,Henry County,44.1,,,,,
2023,GA,Columbia County,43.7,,,,,
2023,GA,Greene County,42.6,,,,,
2023,GA,Jackson County,42.6,,,,,
2023,GA,Colquitt County,42.2,,,,,
2023,GA,Coweta County,42.1,,,,,
2023,GA,Baker County,42,,,,,
2023,GA,Douglas County,41.1,,,,,
2023,GA,Appling County,40,,,,,
2023,GA,DeKalb County,38.8,,,,,
2023,GA,Irwin County,38.6,,,,,
2023,GA,Cook County,38.4,,,,,
2023,GA,Berrien County,38.3,,,,,
2023,GA,Wilkinson County,38,,,,,
2023,GA,Baldwin County,37.4,,,,,
2023,GA,Putnam County,36.7,,,,,
2023,GA,Peach County,36.6,,,,,
2023,GA,Evans County,36.2,,,,,
2023,GA,Burke County,35,,,,,
2023,GA,Gilmer County,34,,,,,
2023,GA,Cobb County,33.6,,,,,
2023,GA,Pierce County,32.8,,,,,
2023,GA,Dawson County,32.5,,,,,
2023,GA,Franklin County,31.6,,,,,
2023,GA,Mitchell County,31.1,,,,,
2023,GA,Pulaski County,30.8,,,,,
2023,GA,Jefferson County,30.1,,,,,
2023,GA,Dodge County,29.5,,,,,
2023,GA,Worth County,29.5,,,,,
2023,GA,Catoosa County,29.4,,,,,
2023,GA,Camden County,28.9,,,,,
2023,GA,Grady County,28.6,,,,,
2023,GA,Lee County,28.1,,,,,
2023,GA,Gwinnett County,27.6,,,,,
2023,GA,Hart County,26.1,,,,,
2023,GA,Turner County,24.2,,,,,
2023,GA,Butts County,23.6,,,,,
2023,GA,Liberty County,23.5,,,,,
2023,GA,Murray County,23.5,,,,,
2023,GA,Jones County,23.4,,,,,
2023,GA,Lanier County,22.8,,,,,
2023,GA,Calhoun County,22,,,,,
2023,GA,Early County,22,,,,,
